1 一一 1
2 一万年 1
3 一下 13
4 一下子 2
5 一世 2
6 一丝 2
7 一个 280
8 一个个 1
9 一举 1
10 一九二七年 1
11 一书 1
12 一五 1
13 一些 72
14 一人 1
15 一代 5
16 一代人 2
17 一以贯之 1
18 一件 3
19 一份 1
20 一位 9
21 一体 8
22 一体化 1
23 一例 3
24 一元 2
25 一元化 2
26 一八 1
27 一六 1
28 一共 1
29 一具 1
30 一册 1
31 一再 2
32 一出 2
33 一出戏 1
34 一分 2
35 一切都是 1
36 一到 1
37 一副 1
38 一动 1
39 一劳永逸 1
40 一千年 1
41 一半 3
42 一双 1
43 一反 2
44 一发 1
45 一句 12
46 一只 4
47 一可安 1
48 一名 1
49 一员 3
50 一周 1
51 一味 6
52 一四 3
53 一回 2
54 一国两制 1
55 一国之君 1
56 一在 2
57 一场 2
58 一块 1
59 一处 1
60 一夜之间 1
61 一大 7
62 一大批 2
63 一天 3
64 一套 4
65 一如 1
66 一字 1
67 一定 71
68 一寸 1
69 一对 3
70 一尊 1
71 一小部分 1
72 一层 6
73 一己 2
74 一己之私 1
75 一带 1
76 一席之地 2
77 一幅 8
78 一幕幕 1
79 一干二净 1
80 一年 2
81 一度 2
82 一座 4
83 一张 1
84 一念时 1
85 一战 1
86 一所 1
87 一手 1
88 一才 2
89 一批 3
90 一挥而就 1
91 一支 2
92 一整套 2
93 一文 9
94 一方 3
95 一日 1
96 一日千里 2
97 一时 3
98 一时期 5
99 一时间 1
100 一是 8
101 一曰 1
102 一曲 1
103 一本 7
104 一本正经 1
105 一束 1
106 一条 11
107 一杯 1
108 一极 1
109 一概而论 1
110 一次 8
111 一步 4
112 一步登天 2
113 一段 9
114 一段时间 1
115 一段话 1
116 一水 1
117 一汪 1
118 一泻千里 1
119 一派 3
120 一滴 1
121 一炬以 1
122 一点 33
123 一片 6
124 一物 1
125 一环 1
126 一环扣一环 1
127 一瓢 2
128 一生 15
129 一用 1
130 一番 4
131 一百多年 1
132 一百年 1
133 一盘散沙 1
134 一直 11
135 一看 1
136 一瞬 2
137 一碧 1
138 一种 360
139 一窟 1
140 一窥 1
141 一章 3
142 一笑 1
143 一笔 1
144 一筋 1
145 一箪食 1
146 一篇 6
147 一类 9
148 一系列 19
149 一级 1
150 一组 1
151 一经 6
152 一络 1
153 一统 1
154 一统天下 2
155 一维 1
156 一群 3
157 一者 1
158 一聚尘 1
159 一股 4
160 一胜 1
161 一脉 2
162 一脉相承 2
163 一致 7
164 一致性 2
165 一般地说 1
166 一般性 2
167 一般无二 1
168 一般而言 1
169 一般说来 3
170 一艘 1
171 一节 2
172 一苇 1
173 一草一木 1
174 一要 1
175 一视同仁 1
176 一角 1
177 一言 1
178 一言不发 1
179 一言以蔽之 1
180 一记 2
181 一词 1
182 一负 1
183 一贯 1
184 一起 32
185 一路 1
186 一蹴而就 2
187 一身 1
188 一辈子 1
189 一辙 1
190 一边 3
191 一道 2
192 一部 19
193 一部分 21
194 一重 1
195 一针见血 1
196 一长 1
197 一门 9
198 一问 2
199 一阵 1
200 一阵阵 1
201 一雨 1
202 一面 10
203 一面镜子 2
204 一项 6
205 一须 1
206 一颗 1
207 一首 6
208 一首五 1
209 丁宁 4
210 丁由译 1
211 丁神 1
212 七 14
213 七个 1
214 七八 5
215 七十年 1
216 七十年代 10
217 七声 1
218 七大 2
219 七天 2
220 七富 1
221 七年 2
222 七度 1
223 七情 2
224 七日 2
225 七星 1
226 七言句 1
227 七魄 1
228 万 1
229 万丈 1
230 万事 1
231 万事万物 3
232 万众 1
233 万历 1
234 万古 1
235 万境 1
236 万宝 1
237 万年 3
238 万户 1
239 万斛泉源 2
240 万民 1
241 万灵 1
242 万物 25
243 万物之灵 1
244 万章 1
245 万花筒 1
246 万言书 1
247 万象 1
248 万里 2
249 万顷 1
250 丈夫 4
251 三 44
252 三七 3
253 三三 15
254 三个 18
255 三乐 1
256 三九 1
257 三二 5
258 三二六 1
259 三五 2
260 三人 2
261 三人操 2
262 三代 1
263 三位 1
264 三位一体 4
265 三例 1
266 三元 2
267 三八 16
268 三分法 1
269 三十 2
270 三十六 1
271 三十四年 1
272 三千余 1
273 三哲 1
274 三四 1
275 三四个 1
276 三四十 1
277 三国 10
278 三国志 12
279 三国演义 10
280 三场 1
281 三型 1
282 三大 6
283 三大派 1
284 三大流 1
285 三大类 3
286 三子 2
287 三宝 1
288 三家 4
289 三层 2
290 三幅 1
291 三年 4
292 三度 1
293 三性 1
294 三恶道 2
295 三教 1
296 三教九流 1
297 三日 1
298 三月不知肉味 1
299 三次 2
300 三段 1
301 三段论式 1
302 三毛 1
303 三流 2
304 三生 1
305 三界 1
306 三百 2
307 三百多 1
308 三百年 1
309 三种 11
310 三级跳远 1
311 三维 2
312 三维空间 2
313 三者 2
314 三联书店 1
315 三苏 1
316 三要素 3
317 三角 1
318 三言两语 1
319 三部 1
320 三里河 1
321 三音 6
322 三顾茅庐 1
323 三首 1
324 三魂 1
325 上 473
326 上争 1
327 上人 2
328 上册 1
329 上初 1
330 上升 7
331 上半期 1
332 上半部 1
333 上卷 4
334 上去 3
335 上口 1
336 上古 2
337 上古时代 2
338 上图 2
339 上堂 1
340 上天 1
341 上对 1
342 上将 1
343 上帝 3
344 上形 1
345 上方 1
346 上来 6
347 上极 1
348 上浮 1
349 上海 1
350 上海人民出版社 1
351 上海文艺出版社 1
352 上海译文出版社 3
353 上游 2
354 上溯 1
355 上演 2
356 上画 1
357 上的 4
358 上行 2
359 上被 1
360 上要 1
361 上读 1
362 上达于 2
363 上述 19
364 上银幕 1
365 上面 5
366 下 87
367 下不去 1
368 下列 1
369 下则 1
370 下半叶 1
371 下卷 1
372 下去 5
373 下及 1
374 下图 1
375 下层 2
376 下属 1
377 下得 1
378 下意识 3
379 下来 4
380 下游 1
381 下滑 2
382 下笔 1
383 下至 1
384 下蒙上 1
385 下行 3
386 下表 1
387 下越 1
388 下跌 2
389 下边 1
390 下述 1
391 下降 1
392 下面 4
393 不 334
394 不一 2
395 不丝 1
396 不为 3
397 不为过 1
398 不久 3
399 不久前 1
400 不乏 6
401 不买 1
402 不乱 1
403 不了 3
404 不予 2
405 不争 3
406 不二 2
407 不亏 1
408 不亚于 3
409 不亡 1
410 不交 1
411 不仅仅 22
412 不以 5
413 不休 1
414 不会 21
415 不似 1
416 不住 2
417 不作 1
418 不使 1
419 不侔 1
420 不假思索 1
421 不像 1
422 不免 10
423 不全是 2
424 不公 2
425 不共 1
426 不共戴天 1
427 不再 14
428 不准 2
429 不减 2
430 不凡 1
431 不出 1
432 不分 1
433 不切实际 1
434 不利 1
435 不利于 1
436 不到 4
437 不力 1
438 不加 3
439 不加区分 1
440 不动声色 1
441 不十 1
442 不单是 2
443 不厌 1
444 不去 1
445 不及 5
446 不受 3
447 不变 4
448 不叫 1
449 不可 43
450 不可不 1
451 不可企及 1
452 不可分割 1
453 不可否认 1
454 不可思议 2
455 不可或缺 6
456 不可考 1
457 不可论证 1
458 不可逆转 1
459 不可避免 6
460 不吃 1
461 不合 2
462 不合时宜 1
463 不同 132
464 不同于 6
465 不同点 1
466 不向 1
467 不吝 1
468 不唯 1
469 不啻 2
470 不喜 1
471 不堪 3
472 不复存在 1
473 不多 2
474 不多置 1
475 不多见 2
